,GTIN,Brand,Manufacturer,a,Primary Description,Regulated Product Name,No. & size (unit),Version,a,Retail,Listing,,My Rise,Overall,,Brandbank (Group),,Category,Sub-Cat.,Prod. Group,,Further Description,a,Features,Serve,a,Variental,ABV (%),Lower Age Limit,"Allergy, additive, and lifestyle advice",Safety Warnings,Packaging,Measurements (W/H/D),Ingredients,a,Portion Type,Energy in kcal,Energy in kJ,Protein,Carbs,Total Sugar,Fat,Sat Fat,Fibre,Sodium,Salt,Salt Equiv.,
,5010153853977,Carlsberg,Carlsberg UK Ltd,a,Carlsberg Lager 8 x 440ml,Lager ,8 x 440ml,14/12/2015,a,8,8.79,,10%,20%,,Beer & Cider,,Alcohol,Beer & Cider,Standard Lager,,"Carlsberg is a pale blonde Danish pilsner style lager, with a flowery subtle aroma, and hoppy fruity flavours with a soft lingering finish.",a,,For best results pour Carlsberg into a Carlsberg branded glass at a temperature of 6ﾰC to 8ﾰC or for an extra cold lager serve between 2ﾰC to 4ﾰC ,a,,3.8%,Statutory 18 Years, Contains: Barley   ,Do not exceed maximum daily & weekly recommended units. For help visit www.drinkaware.co.uk.,Can - Metal - Widely Recycled - www.recyclenow.com,153 x 265 x 133,,a,per 100 (ml/g), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,7804335002639,Carmen,Santa Rita Europe Ltd.,a,Carmen Premier 1850 Carmenere Reserva 750ml,Carmen�re - Red Chilean Wine,750ml,27/01/2016,a,8,8.49,,6%,16%,,Red Wine,,Alcohol,Wine,White,,Style: Aromatic and silkyStyle: Aromatic and silky.,a,"Wine of Valle de Colchagua, Chile

A tribute to Chile's oldest winery","Ideal with: Red meats, lamb, goulash, Indian and Mexican food Ideal with: Red meats, lamb, goulash, Indian and Mexican food.",a,,13.5%,Statutory 18 Years," Contains: Eggs, Sulphur Dioxide/Sulphites   ",Do not exceed maximum daily & weekly recommended units. For help visit www.drinkaware.co.uk., - ,303 x 76 x 76,,a,per 100 (ml/g), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,7804320423081,Casillero del Diablo,Concha y Toro UK Ltd.,a,Casillero del Diablo Cabernet Sauvignon 187ml,Cabernet Sauvignon - Red Chilean Wine,18.7cl,09/05/2016,a,2.25,2.49,,11%,21%,,Red Wine,,Alcohol,Wine,Small formats,,"A smooth, full-bodied Cabernet Sauvignon with cassis and black cherry flavours, complemented by hints of coffee and dark chocolate. Food Pairing: A great choice to match with red meats, herby dishes or mature cheeses.Winemaker's Note
Crafted using grapes form Chile's Central Valley. Warm days followed by cooler nights provide near-perfect growing conditions, resulting in rich smooth fruity flavours.

How it Tastes
A smooth, full-bodied Cabernet Sauvignon with cassis and black cherry flavours, complemented by hints of coffee and dark chocolate.",a,Wine of Chile," Food Match
A great choice to match with red meats, herby dishes or mature cheeses.",a,Cabernet Sauvignon,13.5%,Statutory 18 Years, Contains: Sulphur Dioxide/Sulphites   ,Do not exceed maximum daily & weekly recommended units. For help visit www.drinkaware.co.uk., - ,176 x 52 x 52,,a,per 100 (ml/g), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,7804320985633,Casillero del Diablo,Concha y Toro UK Ltd,a,Casillero del Diablo Merlot 750ml,Merlot - Red Chilean Wine,75cl,09/05/2016,a,8,8.79,,10%,20%,,Red Wine,,Alcohol,Wine,Red,,"A smooth, medium-bodied Merlot that perfectly combines plum and red berry flavours with smoky, cedar wood aromas. Food Pairing: Ideal to match with pasta, risotto and lightly spiced red meat dishes. Makes a perfect match with pasta, risotto and lightly spiced red meat dishes.",a,"Wine of Rapel Valley, Chile"," Makes a perfect match with pasta, risotto and lightly spiced red meat dishes ",a,Merlot,13.5%,Statutory 18 Years, Contains: Sulphur Dioxide/Sulphites   ,Do not exceed maximum daily & weekly recommended units. For help visit www.drinkaware.co.uk., - ,0 x 0 x 0,,a,per 100 (ml/g), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,7804320256900,Casillero del Diablo,Concha y Toro UK Ltd.,a,Casillero del Diablo Reserva Chardonnay 750ml,Chardonnay - White Chilean Wine,75cl,01/02/2016,a,8,8.79,,10%,20%,,White Wine,,Alcohol,Wine,Luxury,,"A fresh, medium-bodied Chardonnay, from Chile's cool climate Casablanca Valley, loaded with wonderfully ripe peach and pineapple flavours with a hint of vanilla spice. Food Match: Perfect to savour on its own or with fish, white meat, and pasta with a creamy sauce.",a,Wine of Chile, Great with fish and seafood and creamy pasta dishes.,a,Chardonnay,13.5%,Statutory 18 Years, Contains: Sulphur Dioxide/Sulphites   ,Do not exceed maximum daily & weekly recommended units. For help visit www.drinkaware.co.uk.,Bottle - Glass - Widely Recycled - recyclenow.com,297 x 86 x 86,,a,per 100 (ml/g), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,7804320301174,Casillero del Diablo,Concha y Toro UK Ltd.,a,Casillero del Diablo Sauvignon Blanc 750ml,Sauvignon Blanc - White Chilean Wine,75cl,09/05/2016,a,8,8.79,,10%,20%,,White Wine,,Alcohol,Wine,Luxury,,"This is a refreshing, light-bodied Sauvignon Blanc from Chile with delicious, zesty peach, melon and gooseberry flavours. Crisp and dry, this is one to keep chilled and on hand for when people drop in unexpectedly! Food Pairing: Perfect to savour on its own or with fish, shellfish, salads or soups.Winemaker's Note
Crafted using grapes from three of Chile's coastal regions. This cooler climate brings out the best qualities as the grapes ripen later, allowing the intense fruit flavours to shine through.

How It Tastes
A refreshing light-bodied Sauvignon Blanc with zesty peach, citrus fruit and gooseberry flavours.",a,"Wine of Valle Central, Chile"," Enjoy with fish, shellfish, salads, soups or as an aperitif.",a,Sauvignon Blanc,13%,Statutory 18 Years, Contains: Sulphur Dioxide/Sulphites   ,Do not exceed maximum daily & weekly recommended units. For help visit www.drinkaware.co.uk., - ,0 x 0 x 0,,a,per 100 (ml/g), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,5000159457873,Celebrations,,a,CELEBRATIONSﾮ 240g,An assortment of milk chocolates and a milk chocolate covered biscuit,240g,30/10/2015,a,3.1,3.49,,13%,23%,,Confectionery,,Food,Sweets,Luxury,,,a,"Suitable for vegetarians

Kosher - KLBD-D", ,a,,,," Contains: Barley, Wheat, Eggs, Milk, Peanuts, Soya

May Contain: Hazelnuts   ",, - ,196 x 115 x 70,"Sugar, Glucose Syrup, Cocoa Butter, Skimmed Milk Power, Cocoa Mass, Milk Fat, Peanuts, Lactose, Palm Fat, Desiccated Coconut, Wheat Flour, Whey Powder (from Milk), Sunflower Oil, Full Cream Milk Powder, Skimmed Condensed Milk, Emulsifiers (Soya Lecithin, E471), Barley Malt Extract, Fat Reduced Cocoa, Salt, Humectant (Glycerol), Egg White Powder, Natural Vanilla Extract, Raising Agents (E341, E500, E501), Coconut Oil, Hydrolysed Milk Protein, Milk Chocolate contains Milk Solids 14% minimum and Cocoa Solids 25% minimum",a,per 100 (ml/g),2080,497,25,15,62,55,6, -   , -   ,0, -   ,
,5000299212936,Chivas Regal,,a,Chivas Regal 12 Year Old Blended Scotch Whisky 70cl,Blended Scotch Whisky,70cl,08/01/2016,a,24,25.49,,6%,16%,,Sprits & Liqueurs,,Alcohol,Spirits,Scotch,,"Colour: Radiant, warm amber. Nose: An aromatic infusion of wild herbs, heather, honey and orchard fruits. Taste: Rich and fruity, Chivas bursts with the smooth taste of ripe, honeyed apples, and notes of vanilla, hazelnut and butterscotch. Finish: Enjoy the generous, lingering finish.This rich, smooth whisky balances style with substance and tradition. An artful blend of single malts & delicate grain whiskies, matured for at least 12 years. This blend won a Gold Medal at the International Wine & Spirit Competition (IWSC) 2015.

Each whisky in the Chivas Regal range is unique. The founding fathers of the distillery pioneered the art of blending whisky and their traditions have passed down through generations of Master Blenders to preserve the distinct character and quality of every Chivas drop.",a,Award-winning blended whisky (gift box), ,a,,40%,Statutory 18 Years,    ,Do not exceed maximum daily & weekly recommended units. For help visit www.drinkaware.co.uk., - ,0 x 0 x 0,,a,per 100 (ml/g), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,5010103999991,C�roc,Diageo,a,C�roc Red Berry Flavoured Vodka 70cl,Red Berry Flavoured Vodka,70cl,27/04/2016,a,30,32.98,,10%,20%,,Sprits & Liqueurs,,Alcohol,Spirits,Vodka,,"C�roc� Red Berry� starts with C�roc� Ultra-Premium Vodka, the first vodka ever to be produced from grapes, in France. Distilled five times to ensure high quality, the vodka is then blended with fresh raspberries and blackberries. The blending of luscious berry flavours makes this the perfect addition to a cocktail or can be enjoyed on the rocks. A refreshingly different vodka experienceC�roc� Red Berry� starts with C�roc� Ultra-Premium Vodka, the first vodka ever to be produced from grapes, in France. Distilled five times to ensure high quality, the vodka is then blended with fresh raspberries and blackberries. The blending of luscious berry flavours makes this the perfect addition to a cocktail or can be enjoyed on the rocks.

A refreshingly different vodka experience",a,"Made with vodka

Infused with natural wild berry and other fruit flavors

From fine French grapes

5 times distilled",Simply enjoy on the rocks or with lemonade. Simply enjoy on the rocks.,a,,37.5%,Statutory 18 Years,    ,Do not exceed maximum daily & weekly recommended units. For help visit www.drinkaware.co.uk.,Bottle - Recyclable - ,320 x 75 x 75,,a,per 100 (ml/g), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,5010103916738,C�roc,Diageo,a,C�roc Snap Frost Vodka 70cl,Snap Frost Vodka ,700ml,05/01/2015,a,30,32.98,,10%,20%,,Sprits & Liqueurs,,Alcohol,Spirits,Vodka,,"Ciroc� is an inspired vodka distilled from fine French grapes.

This innovation in French craftsmanship uses a cold fermentation process, unique in the world of vodka, that preserves the grape's distinct freshness. It is distilled five times and finished in a copper pot-still in the legendary Cognac Region of France. Cirocﾮ is a taste experience that is refreshingly different and elegantly smooth.",a,"Distilled from fine French grapes

5 times distilled", ,a,,40%,Statutory 18 Years,    ,Do not exceed maximum daily & weekly recommended units. For help visit www.drinkaware.co.uk.,Packing - Recyclable - Please Recycle,319 x 75 x 75,,a,per 100 (ml/g), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,5010103997652,C�roc,Diageo,a,C�roc Vodka 20cl,,200ml,09/02/2015,a,15,15.99,,7%,17%,,Sprits & Liqueurs,,Alcohol,Spirits,Vodka,,"Ciroc� is an inspired vodka distilled from fine French grapes. This innovation in French craftsmanship uses a cold fermentation process, unique in the world of vodka, that preserves the grape's distinct freshness. It is distilled five times and finished in a copper pot-still in the legendary Cognac Region of France. Ciroc� is a taste experience that is refreshingly different and elegantly smoothCiroc� is an inspired vodka distilled from fine French grapes.

This innovation in French craftsmanship uses a cold fermentation process, unique in the world of vodka, that preserves the grape's distinct freshness. It is distilled five times and finished in a copper pot-still in the legendary Cognac Region of France. Cirocﾮ is a taste experience that is refreshingly different and elegantly smooth.",a,"Distilled from fine French grapes

5 times distilled",C�ROC is exceptionally smooth and can be enjoyed sipped for in many premium cocktails. When you blend exceptional craftsmanship and quality with the style and elegance that is synonymous with the French lifestyle, the result is the ultimate Vodka experience ,a,,40%,Statutory 18 Years,    ,Do not exceed maximum daily & weekly recommended units. For help visit www.drinkaware.co.uk.,Bottle - Recyclable - ,228 x 49 x 49,,a,per 100 (ml/g), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
,5010038441336,Cobra,Cobra Beer Partnership Ltd. / Molson Coors Ireland,a,Cobra Premium Beer 660ml,Premium Lager Beer,660ml,03/05/2016,a,2,2.19,,10%,20%,,Beer & Cider,,Alcohol,Beer & Cider,World & Craft,,"Impossibly Smooth Premium Beer.

Cobra beers have been awarded a total of 83 Gold Medals by Monde Selection, one of the most prestigious quality awards in the world of beer.",a,"Global Gold Medal winner

Vegetarian Society approved

Kosher - KLBD", Serve chilled.,a,,4.8%,Statutory 18 Years," Contains: Barley, Wheat   ",Do not exceed maximum daily & weekly recommended units. For help visit www.drinkaware.co.uk.,Bottle - Glass - Widely Recycled - recyclenow.com,280 x 73 x 73,,a,per 100 (ml/g), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,7290000284316,Coca-Cola,Coca-Cola Enterprises Ltd,a,Coca Cola 1.5L,,1.5l,16/04/2008,a,1.85,1.99,,8%,18%,,Carbonated Drinks,,Soft Drinks,Fizzy,to share,,,a,, ,a,,,,    ,, - ,0 x 0 x 0,"Water, Sugar, Carbon-Dioxide, Caramel Color, Edible Phosphoric Acid, Flavors, Caffeine",a,per 100 (ml/g), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,7290001594056,Coca-Cola,Coca-Cola Enterprises Ltd,a,Coca Cola Can 330ml,,330ml,16/04/2008,a,0.7,0.79,,13%,23%,,Carbonated Drinks,,Soft Drinks,Fizzy,for me,,,a,, ,a,,,,    ,, - ,0 x 0 x 0,"Water, Sugar, Carbon-Dioxide, Caramel Color, Edible Phosphoric Acid, Flavors, Caffeine",a,per 100 (ml/g), -   ,42, -   , -   ,11, -   , -   , -   ,5, -   , -   ,
,5449000028921,Coca-Cola,Coca-Cola Enterprises Ltd,a,Coca-Cola 1.25L,Sparkling Soft Drink with Vegetable Extracts,1.25l,20/05/2016,a,1.29,1.45,,12%,22%,,Carbonated Drinks,,Soft Drinks,Fizzy,to share,,"Did you know every time you open a bottle of Coca-Cola 12,607 bubbles are born? Happy Birthday bubbles!

Great Coke taste
Only natural flavours
No added preservatives
Gluten-free, dairy-free and nut-free

Serve ice cold for maximum refreshment.

Contains 5 x 250ml servings.

Keep  cold in the fridge.

Please recycle.",a,"This product is GMO free

This product is gluten free

This product is allergen free

This product is suitable for vegetarians/vegans", Best served chilled,a,,,," Free From: Celery, Cereals Containing Gluten, Gluten, Crustaceans, Eggs, Fish, Lupin, Milk, Molluscs, Mustard, Nuts, Peanuts, Sulphur Dioxide/Sulphites, Soya, Sesame  Free From: Genetically Modified Ingredients Contains natural flavourings

Contains added colours",,Bottle - Plastic - Widely Recycled - ,303 x 89 x 89,"Carbonated Water, Sugar, Colour (Caramel E150d), Phosphoric Acid, Natural Flavourings including Caffeine",a,per 100 (ml/g),180,42, -   , -   ,11,11, -   , -   , -   , -   , -   ,
,5000112606713,Coca-Cola,Coca-Cola Enterprises Ltd,a,Coca-Cola 1.75L,Sparkling Soft Drink with Vegetable Extracts,1.75l,30/04/2015,a,1.69,1.89,,12%,22%,,Carbonated Drinks,,Soft Drinks,Fizzy,to share,,"Did you know every time you open a bottle of Coca-Cola 12,607 bubbles are born? Happy Birthday bubbles!

Great Coke taste
Only natural flavours
No added preservatives
Gluten-free, dairy-free and nut-free

Serve ice cold for maximum refreshment.

Keep one cold in the fridge.

Please recycle.",a,"This product is GMO free

This product is gluten free

This product is allergen free

This product is suitable for vegetarians/vegans", Best served chilled,a,,,," Free From: Celery, Cereals Containing Gluten, Gluten, Crustaceans, Eggs, Fish, Lupin, Milk, Molluscs, Mustard, Nuts, Peanuts, Sulphur Dioxide/Sulphites, Soya, Sesame This product is allergen free Free From: Genetically Modified Ingredients Contains natural flavourings

Contains added colours",,Bottle - Plastic - Widely Recycled - ,0 x 0 x 0,"Carbonated Water, Sugar, Colour (Caramel E150d), Phosphoric Acid, Natural Flavourings including Caffeine",a,per 100 (ml/g),180,42, -   , -   ,11,11, -   , -   , -   , -   , -   ,
,5449000009272,Coca-Cola,Coca-Cola Enterprises Ltd,a,Coca-Cola 4 x 330ml,Sparkling Soft Drink with Vegetable Extracts,4 x 330ml,10/11/2015,a,1.99,2.19,,10%,20%,,Carbonated Drinks,,Soft Drinks,Fizzy,to share,,"Did you know every time you open a bottle of Coca-Cola 12,607 bubbles are born? Happy Birthday bubbles!

Great Coke taste
Only natural flavours
No added preservatives
Gluten-free, dairy-free and nut-free

Serve ice cold for maximum refreshment.

Keep one cold in the fridge.

Please recycle",a,"Coca-Cola 330ml can - this pack is perfect for sharing, contains 4 x 330ml servings", Best served chilled,a,,,,    ,,Film - Recycle with carrier bags at larger stores - Not at Kerbside - ,133 x 133 x 116,"Carbonated Water, Sugar, Colour (Caramel E150d), Phosphoric Acid, Natural Flavourings Including Caffeine",a,per 100 (ml/g),180,42, -   , -   ,11,11, -   , -   , -   , -   , -   ,
,54491472,Coca-Cola,Coca-Cola Enterprises Ltd.,a,Coca-Cola 500ml,Sparkling Soft Drink with Vegetable Extracts,500ml,26/05/2015,a,1,1.15,,15%,25%,,Carbonated Drinks,,Soft Drinks,Fizzy,for me,,"Did you know every time you open a bottle of Coca-Cola 12,607 bubbles are born? Happy Birthday bubbles!

Great Coke taste
Only natural flavours
No added preservatives
Gluten-free, dairy-free and nut-free

Serve ice cold for maximum refreshment.

Keep one cold in the fridge.

Please recycle.",a,, Best served chilled.,a,,,,    ,,Bottle - Plastic - Widely Recycled - ,232 x 66 x 66,"Carbonated Water, Sugar, Colour (Caramel E150d), Phosphoric Acid, Natural Flavourings including Caffeine",a,per 100 (ml/g),180,42, Trace , Trace ,11,11, Trace , -   , -   , Trace , -   ,
,5449000051547,Coca-Cola,Coca-Cola Enterprises Ltd,a,Coca-Cola Cans 6 x 330ml,Sparkling Soft Drink with Vegetable Extracts,6 x 330ml,19/05/2015,a,3.75,3.99,,6%,16%,,Carbonated Drinks,,Soft Drinks,Fizzy,to share,,"Did you know every time you open a bottle of Coca-Cola 12,607 bubbles are born? Happy Birthday bubbles!

Great Coke taste
Only natural flavours
No added preservatives
Gluten-free, dairy-free and nut-free

Serve ice cold for maximum refreshment.

Contains 6 individual 330ml cans

Keep one cold in the fridge.

Please recycle.",a,"Coca-Cola 330ml can - this pack is perfect for sharing, contains 6 x 330ml servings

This product is GMO free

This product is gluten free

This product is allergen free

This product is suitable for vegetarians/vegans", Best served chilled,a,,,," Free From: Celery, Cereals Containing Gluten, Gluten, Crustaceans, Eggs, Fish, Lupin, Milk, Molluscs, Mustard, Nuts, Peanuts, Sulphur Dioxide/Sulphites, Soya, Sesame This product is allergen free Free From: Genetically Modified Ingredients Contains natural flavourings

Contains added colours",,Can - Metal - Widely Recycled - ,0 x 0 x 0,"Carbonated Water, Sugar, Colour (Caramel E150d), Phosphoric Acid, Natural Flavourings including Caffeine",a,per 100 (ml/g),180,42, -   , -   ,11,11, -   , -   , -   , -   , -   ,
,5449000197092,Coca-Cola,Coca-Cola Enterprises Ltd.,a,Coca-Cola Cherry 1.75L,Sparkling Cherry Flavour Soft Drink with Vegetable Extracts,1.75l,20/05/2016,a,1.85,1.99,,8%,18%,,Carbonated Drinks,,Soft Drinks,Fizzy,to share,,"Did you know every time you open a bottle of Coca-Cola 12,607 bubbles are born? Happy Birthday bubbles!

Great Coke taste
Only natural flavours
No added preservatives
Gluten-free, dairy-free and nut-free

Serve ice cold for maximum refreshment.

Keep one cold in the fridge.

Please recycle.",a,, Best served chilled,a,,,,    ,,Bottle - Plastic - Widely Recycled - ,340 x 100 x 100,"Carbonated Water, Sugar, Colour (Caramel E150d), Phosphoric Acid, Natural Flavourings including Caffeine",a,per 100 (ml/g),191,45, -   , -   ,11,11, -   , -   , -   , -   , -   ,
,54492790,Coca-Cola,Coca-Cola Enterprises Ltd.,a,Coca-Cola Cherry 500ml,Sparkling Cherry Flavour Soft Drink with Vegetable Extracts,500ml,15/10/2015,a,1,1.15,,15%,25%,,Carbonated Drinks,,Soft Drinks,Fizzy,for me,,"Did you know every time you open a bottle of Coca-Cola 12,607 bubbles are born? Happy Birthday bubbles!

Great Coke taste
Only natural flavours
No added preservatives
Gluten-free, dairy-free and nut-free

Serve ice cold for maximum refreshment.

Keep one cold in the fridge.

Please recycle.",a,, Best served chilled,a,,,,    ,,Bottle - Plastic - Widely Recycled - ,233 x 65 x 65,"Carbonated Water, Sugar, Colour (Caramel E150d), Phosphoric Acid, Natural Flavourings including Caffeine",a,per 100 (ml/g),191,45, Trace , Trace ,11,11, Trace , -   , -   , Trace , -   ,
,5449000133724,Coca-Cola,Coca-Cola Enterprises Ltd.,a,Coca-Cola Zero 1.25L,Sparkling Low Calorie Soft Drink with Vegetable Extracts with Sweeteners,1.25l,20/05/2016,a,1.29,1.45,,12%,22%,,Carbonated Drinks,,Soft Drinks,Fizzy,to share,,"Coke Zero is the perfect drink for people who want all the taste of Coca_Cola, without the sugar or calories.

Coke Zero is a sugar free, low calorie soft drink with the great taste of original Coca-Cola.
Zero sugar
Zero Calories
Contains vegetable extracts and sweeteners
Gluten-free, dairy-free and nut-free

Serve ice cold for maximum refreshment.

Contains 5 x 250ml servings.

Keep one cold in the fridge

Please recycle. ",a,"Zero calories or sugar

Great Coke taste", Best served chilled,a,,,,    ,,Bottle - Plastic - Widely Recycled - ,303 x 89 x 89,"Carbonated Water, Colour (Caramel E150d), Phosphoric Acid, Sweeteners (Aspartame, Acesulfame K), Natural Flavourings including Caffeine, Acidity Regulator (Sodium Citrate)",a,per 100 (ml/g),1,0, -   , -   , -   , -   , -   , -   , -   ,0, -   ,
,7290013585158,Coca-Cola,Coca-Cola Enterprises Ltd,a,Coca-Cola Zero 1.5L,Sparkling Low Calorie Soft Drink with Vegetable Extracts with Sweeteners,1.5l,23/06/2015,a,1.85,1.99,,8%,18%,,Carbonated Drinks,,Soft Drinks,Fizzy,to share,,,a,Kosher for Passover, ,a,,,,    ,,Packing - Recyclable - Please recycle,330 x 94 x 94,"Carbonated Water, Colour (E150d), Phosphoric Acid, Sweeteners (Aspartame, Acesulfame K), Natural Flavourings including Caffeine, Acidity Regulator (E332)",a,per 100 (ml/g),1,0, -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,5449000601995,Coca-Cola,Coca-Cola Enterprises Ltd,a,Coca-Cola Zero 1.75L,Sparkling Low Calorie Soft Drink with Vegetable Extracts with Sweeteners,1.75l,21/12/2015,a,1.85,1.99,,8%,18%,,Carbonated Drinks,,Soft Drinks,Fizzy,to share,,"Coke Zero is the perfect drink for people who want all the taste of Coca_Cola, without the sugar or calories.

Coke Zero is a sugar free, low calorie soft drink with the great taste of original Coca-Cola.
Zero sugar
Zero Calories
Contains vegetable extracts and sweeteners
Gluten-free, dairy-free and nut-free

Serve ice cold for maximum refreshment.

Keep one cold in the fridge

Please recycle.",a,"Zero calories or sugar

Great Coke Taste

This product is GMO free

This product is gluten free

This product is allergen free

This product is suitable for vegetarians/vegans", Best served chilled.,a,,,," Free From: Celery, Cereals Containing Gluten, Gluten, Crustaceans, Eggs, Fish, Lupin, Milk, Molluscs, Mustard, Nuts, Peanuts, Sulphur Dioxide/Sulphites, Soya, Sesame This product is allergen free Free From: Genetically Modified Ingredients Contains natural flavourings

Contains added colours

Contains added intense sweeteners",,Bottle - Plastic - Widely Recycled - ,0 x 0 x 0,"Carbonated Water, Colour (Caramel E150d), Phosphoric Acid, Sweeteners (Aspartame, Acesulfame K), Natural Flavourings including Caffeine, Acidity Regulator (Sodium Citrate)",a,per 100 (ml/g),1,0, -   , -   , -   , -   , -   , -   , -   ,0, -   ,
,5449000214744,Coca-Cola,Coca-Cola Enterprises Ltd,a,Coca-Cola Zero Cherry 500ml,Sparkling Low Calorie Cherry Flavour Soft Drink with Vegetable Extracts with Sweeteners,500ml,19/05/2016,a,1,1.15,,15%,25%,,Carbonated Drinks,,Soft Drinks,Fizzy,for me,,,a,"Only natural flavours

Zero sugar and calories

No added preservatives

This product is GMO free

This product is gluten free

This product is allergen free

This product is suitable for vegetarians/vegans", Best served chilled,a,,,," Free From: Celery, Cereals Containing Gluten, Gluten, Eggs, Fish, Lupin, Milk, Molluscs, Mustard, Nuts, Peanuts, Sulphur Dioxide/Sulphites, Soya, Sesame  Free From: Genetically Modified Ingredients Contains natural flavourings

Contains added colours

Contains added intense sweeteners",,Bottle - Plastic - Widely Recycled - ,0 x 0 x 0,"Carbonated Water, Colour (Caramel E150d), Phosphoric Acid, Sweeteners (Aspartame, Acesulfame K), Natural Flavourings Including Caffeine, Acidity Regulator (Sodium Citrate)",a,per 100 (ml/g),1,0, -   , -   , -   , -   , -   , -   , -   ,0, -   ,
,8410013007675,Codorn�u,,a,Codorn�u Cava Brut 750ml,Cava Brut - White Spanish Wine,75cl,03/07/2015,a,10,10.99,,10%,20%,,White Wine,,Alcohol,Wine,Sparkling,,"Codorn�u Brut has fresh, soft, appley flavours with a crisp dry finish.Codorniu Brut, a faithful reflection of the first cava created by Codorn�u in 1872 which still maintains its original blend of the three traditional cava grape varieties: Macabeo, Xarel.lo and Parellada.
Cava is made according to the Traditional Method. The second fermentation, to produce bubbles and the unique flavour, takes place in this bottle. A fresh, crisp and elegant sparkling wine with attractive flavours of citrus and apple with fine, persistent bubbles.",a,Wine of Spain,Served chilled (6-8ﾰc) Served chilled (6-8ﾰc).,a,"Macabeo , Xarello , Parellada",11.5%,Statutory 18 Years, Contains: Sulphur Dioxide/Sulphites   ,Do not exceed maximum daily & weekly recommended units. For help visit www.drinkaware.co.uk., - ,321 x 88 x 88,,a,per 100 (ml/g), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,7804320303178,Concha y Toro,Concha y Toro UK Ltd.,a,Concha y Toro Casillero Del Diablo Cabernet Sauvignon 750ml,Cabernet Sauvignon - Red Chilean Wine,75cl,09/05/2016,a,8,8.79,,10%,20%,,Red Wine,,Alcohol,Wine,Red,,"A smooth, full-bodied Cabernet Sauvignon with cassis and black cherry flavours, complemented by hints of coffee and dark chocolate. Food Pairing: A great choice to match with red meats, herby dishes or mature cheeses. Great choice to match with red meats, herby dishes or mature cheeses.Winemaker's Notes
A smooth, full-bodied Cabernet Sauvignon with cassis and black cherry flavours, complemented by hints of coffee and dark chocolate.",a,Wine of Chile," Food Match
Great choice to match with red meats, herby dishes or mature cheeses",a,Cabernet Sauvignon,13.5%,Statutory 18 Years, Contains: Sulphur Dioxide/Sulphites   ,Do not exceed maximum daily & weekly recommended units. For help visit www.drinkaware.co.uk.,Bottle - Glass - Widely Recycled - ,305 x 77 x 77,,a,per 100 (ml/g), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,5010038443088,Coors,Molson Coors Brewing Company (UK) Ltd.,a,Coors Light 4 x 440ml,Light Beer.,4 x 440ml,20/08/2015,a,4,4.49,,12%,22%,,Beer & Cider,,Alcohol,Beer & Cider,Standard Lager,,"Coors Light, The World's Most Refreshing Beerﾙ
We're committed to making sure every person with a tongue gets ice cold refreshment like a blast of cold mountain air, with every single bottle, can or pint of Coors Light they put in their hand.
Our cold activated cans and bottles not only let you know when you're drink is cold but Damme Cold!
Enjoy responsibly

www.coorslight.co.uk",a,Cold activated cans, ,a,,4%,Statutory 18 Years," Contains: Barley, Wheat   ",Do not exceed maximum daily & weekly recommended units. For help visit www.drinkaware.co.uk.,"Can - Metal - Widely Recycled

Film - Plastic - Recycle with carrier bags at larger stores - Not at Kerbside - recyclenow.com",152 x 136 x 136,,a,per 100 (ml/g), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
,5010038443088,Coors,Molson Coors Brewing Company (UK) Ltd.,a,Coors Light 4 x 440ml,Light Beer.,4 x 440ml,20/08/2015,a,4,4.49,,12%,22%,,Beer & Cider,,Alcohol,Beer & Cider,Standard Lager,,"Coors Light, The World's Most Refreshing Beerﾙ
We're committed to making sure every person with a tongue gets ice cold refreshment like a blast of cold mountain air, with every single bottle, can or pint of Coors Light they put in their hand.
Our cold activated cans and bottles not only let you know when you're drink is cold but Damme Cold!
Enjoy responsibly

www.coorslight.co.uk",a,Cold activated cans, ,a,,4%,Statutory 18 Years," Contains: Barley, Wheat   ",Do not exceed maximum daily & weekly recommended units. For help visit www.drinkaware.co.uk.,"Can - Metal - Widely Recycled

Film - Plastic - Recycle with carrier bags at larger stores - Not at Kerbside - recyclenow.com",152 x 136 x 136,,a,per 100 (ml/g), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
